date, ConfirmedCases, ActiveCases, RecoveredCases, Deaths
2020-07-17 18:06:57.890795,35802,11502,22312,1988
2020-07-17 21:39:44.375386,35802,11502,22312,1988
2020-07-18 14:05:25.139874,36691,12194,22488,2009
2020-07-18 23:19:25.837071,36691,12194,22488,2009
2020-07-19 14:56:23.767775,37458,12815,22617,2026
2020-07-19 14:59:30.261515,37458,12815,22617,2026
2020-07-19 17:54:33.890620,37458,12815,22617,2026
2020-07-21 10:39:49.255296,39133,12605,24454,2074
2020-07-21 15:49:05.504769,39133,12605,24454,2074
2020-07-22 10:51:03.481374,40163,13399,24663,2101
2020-07-22 16:04:21.141689,40163,13399,24663,2101
2020-07-22 19:03:59.485923,40163,13399,24663,2101
2020-07-23 17:23:44.276329,41275,14287,24862,2126
2020-07-24 10:48:59.687400,42394,14895,25349,2150
2020-07-24 21:01:26.842624,42394,14895,25349,2150
2020-07-24 21:09:44.730792,42394,14895,25349,2150
2020-07-25 10:17:33.972332,43678,16140,25373,2165
2020-07-25 10:17:33.972332,43678,16140,25373,2165
2020-07-25 10:17:33.972332,43678,16140,25373,2165
2020-07-25 12:25:40.729082,43678,16140,25373,2165
2020-07-25 19:25:10.287072,43678,16140,25373,2165
2020-07-25 20:21:28.391406,43678,16140,25373,2165
2020-07-26 20:01:59.179510,44798,16968,25643,2187
2020-07-27 20:03:01.233819,45902,17902,25794,2206
2020-07-28 20:09:04.894007,47053,18686,26128,2239
2020-07-29 20:04:29.079786,48235,19520,26446,2269
2020-07-30 20:52:10.233750,49591,20678,26609,2304
2020-07-31 20:22:04.993857,50886,21536,27007,2343
2020-08-01 21:03:14.095352,52111,22386,27346,2379
2020-08-03 01:57:56.532792,53186,23181,27592,2413
2020-08-03 20:05:04.263858,54009,23827,27750,2432
2020-08-04 19:39:44.005294,55241,24755,28006,2480
2020-08-06 00:57:45.396145,56550,25445,28584,2521
2020-08-06 18:52:00.660000,57895,26337,28992,2566
2020-08-06 22:25:17.459207,57895,26337,28992,2566
2020-08-07 14:49:26.343423,59273,27368,29289,2616
2020-08-07 17:23:06.738810,59273,27368,29289,2616
