date, ConfirmedCases, ActiveCases, RecoveredCases, Deaths
2020-07-24 21:09:46.511048,49663,17885,30315,1463
2020-07-25 20:21:29.558624,51097,19302,30315,1480
2020-07-26 20:02:00.583310,52304,20494,30315,1495
2020-07-27 20:03:02.877990,52957,16385,35071,1501
2020-07-28 20:09:06.279276,54299,17685,35071,1543
2020-07-29 20:04:30.515410,55804,19170,35071,1563
2020-07-30 20:52:12.471366,57579,20897,35071,1611
2020-07-31 20:22:06.372015,58747,22013,35071,1663
2020-08-01 21:03:15.463395,59881,23117,35071,1693
2020-08-03 01:57:58.012412,60553,23779,35071,1703
2020-08-03 20:05:05.459852,61125,17023,42391,1711
2020-08-04 19:39:45.370076,62199,18055,42391,1753
2020-08-06 00:57:46.841582,63444,19249,42391,1804
2020-08-06 22:25:18.455167,64400,20184,42391,1825
2020-08-07 17:23:08.061298,65436,21197,42391,1848
2020-08-08 14:47:10.379921,66646,22381,42391,1874
2020-08-09 16:41:52.881639,67173,22886,42391,1896
2020-08-10 18:03:19.887707,67649,15901,49836,1912
2020-08-11 21:48:41.903925,68293,16513,49836,1944
2020-08-12 16:47:39.834130,69374,17549,49836,1989
2020-08-13 16:46:07.589281,69986,18139,49836,2011
2020-08-14 19:44:28.198448,70930,19051,49836,2043
2020-08-15 23:37:15.456179,71755,19839,49836,2080
2020-08-16 17:24:54.677153,72136,20216,49836,2084
2020-08-17 16:44:58.828505,72412,13740,56577,2095
2020-08-18 20:57:37.883125,73207,14502,56577,2128
2020-08-19 22:28:48.448341,74555,15815,56577,2163
2020-08-20 21:49:37.917555,75449,16682,56577,2190
2020-08-21 20:29:03.499974,76323,17532,56577,2214
2020-08-22 23:37:06.547147,77268,18454,56577,2237
2020-08-23 18:19:51.175959,77894,19077,56577,2240
2020-08-24 21:52:24.496873,78405,13450,62707,2248
2020-08-25 23:15:29.135058,79206,14184,62707,2315
2020-08-26 17:32:25.581865,80110,15030,62707,2373
2020-08-27 21:10:19.906192,80695,15589,62707,2399
2020-08-28 21:34:55.733662,81294,16174,62707,2413
2020-08-29 22:22:18.046226,82029,16895,62707,2427
2020-08-30 17:31:43.274699,82676,17528,62707,2441
2020-08-31 21:39:42.106079,82950,17770,62707,2473
2020-09-01 18:07:13.964209,83584,13173,67918,2493
2020-09-02 20:48:21.598550,84365,13921,67918,2526
2020-09-03 20:10:02.293118,85116,14662,67918,2536
2020-09-04 21:23:44.259892,85939,15463,67918,2558
2020-09-05 22:07:47.823371,86478,15991,67918,2569
2020-09-06 21:18:32.983712,86888,16386,67918,2584
2020-09-07 20:50:06.215940,87130,16627,67918,2585
2020-09-08 20:48:31.873849,87379,10696,74098,2585
2020-09-09 22:23:36.012176,87805,11084,74098,2623
2020-09-10 22:34:33.454049,88322,11568,74098,2656
2020-09-11 21:55:18.157384,89175,12407,74098,2670
2020-09-12 23:24:10.241060,89620,12837,74098,2685
2020-09-13 23:43:43.282742,89874,13079,74098,2697
2020-09-14 20:09:37.476427,90018,8341,78971,2706
2020-09-15 23:44:51.655086,90523,8818,78971,2734
2020-09-16 23:15:22.474038,91234,9507,78971,2756
2020-09-17 21:50:50.856885,91935,10184,78971,2780
2020-09-18 19:14:43.995454,92432,10669,78971,2792
2020-09-19 21:41:29.389970,93087,11307,78971,2809
2020-09-20 22:47:45.663794,93364,11583,78971,2810
2020-09-21 22:14:23.481184,93556,5419,85327,2810
2020-09-22 21:49:09.699768,94021,5848,85327,2846
2020-09-23 20:51:41.739900,94573,6376,85327,2870
2020-09-24 10:19:50.531310,95310,7109,85327,2874
2020-09-24 17:07:41.953377,95310,7109,85327,2874
2020-09-24 20:42:14.986122,95310,7109,85327,2874
