date, ConfirmedCases, ActiveCases, RecoveredCases, Deaths
2020-07-17 21:39:43.921180,14194140,5124449,8470275,599416
2020-07-18 23:19:25.357024,14429382,5203465,8620954,604963
2020-07-19 17:54:33.429484,14633037,5294335,8730163,608539
2020-07-21 10:39:48.975978,14966099,5364083,8986229,615787
2020-07-21 15:49:05.287955,15069457,5353824,9097381,618252
2020-07-22 19:03:59.046507,15373614,5394229,9349192,630193
2020-07-23 17:23:43.951795,15639706,5475676,9528433,635597
2020-07-24 21:09:44.162717,15941806,5574766,9724289,642751
2020-07-25 20:21:27.924419,16202385,5640708,9913232,648445
2020-07-26 20:01:58.748386,16413954,5719313,10042584,652057
2020-07-27 20:03:00.697504,16644048,5755448,10232050,656550
2020-07-28 20:09:04.495667,16893527,5773656,10456395,663476
2020-07-29 20:04:28.746704,17185930,5818932,10696798,670200
2020-07-30 20:52:09.954707,17476105,5859873,10939473,676759
2020-07-31 20:22:04.560542,17757513,5914322,11160193,682998
2020-08-01 21:03:13.801296,18013236,5998081,11326433,688722
2020-08-03 01:57:56.071624,18252851,6103954,11455780,693117
2020-08-03 20:05:04.022783,18443484,6073378,11672917,697189
2020-08-04 19:39:43.402408,18701167,6081554,11915264,704349
2020-08-06 00:57:45.001786,18990064,6096796,12181805,711463
2020-08-06 22:25:17.173108,19260911,6181816,12361385,717710
2020-08-07 17:23:06.288558,19522906,6266755,12533219,722932
2020-08-08 14:47:06.975669,19760173,6363249,12668904,728020
2020-08-09 16:41:50.745777,20007668,6387925,12886414,733329
2020-08-10 18:03:18.239788,20238412,6399908,13100610,737894
2020-08-11 21:48:39.829135,20522191,6334402,13441861,745928
2020-08-12 16:47:37.355902,20785607,6352739,13681335,751533
2020-08-13 16:46:05.630844,21062029,6415159,13894308,752562
2020-08-14 19:44:26.609222,21345753,6443152,14139467,763134
2020-08-15 23:37:13.849196,21617972,6514744,14334222,769006
2020-08-16 17:24:52.247923,21817629,6491688,14553191,772750
2020-08-17 16:44:56.638941,22034379,6483219,14774359,776801
2020-08-18 20:57:35.292601,22306538,6474406,15047779,784353
2020-08-19 22:28:46.851025,22581537,6487822,15302703,791012
2020-08-20 21:49:33.063880,22862465,6547654,15517694,797117
2020-08-21 20:29:01.328873,23117813,6604936,15709677,803200
2020-08-22 23:37:03.534257,23383472,6664386,15910371,808715
2020-08-23 18:19:49.421985,23581888,6690727,16078754,812407
2020-08-24 21:52:22.619948,23812221,6632868,16362337,817016
2020-08-25 23:15:27.138912,24063894,6627109,16613225,823560
2020-08-26 17:32:23.417008,24315420,6644668,16842031,828721
2020-08-27 21:10:17.278418,24628080,6698280,17094173,835627
2020-08-28 21:34:53.463679,24911727,6770480,17299916,841331
2020-08-29 22:22:14.683440,25169921,6813391,17509747,846783
2020-08-30 17:31:38.206153,25377704,6826727,17700828,850149
2020-08-31 21:39:40.219154,25637634,6840874,17941988,854772
2020-09-01 18:07:11.917350,25890937,6845108,18185552,860277
2020-09-02 20:48:19.103365,26177603,6867951,18442305,867347
2020-09-03 20:10:00.178457,26467490,6932773,18661504,873213
2020-09-04 21:23:41.975112,26795701,7009691,18907047,878963
2020-09-05 22:07:45.792683,27066049,7015506,19166801,883742
2020-09-06 21:18:31.118358,27292583,7027762,19377267,887554
2020-09-07 20:50:04.111442,27485944,7001549,19587535,896860
2020-09-08 20:48:29.087925,27734748,7004405,19828485,901858
